index,carrier,stratum,layer_index,coordinates,coherence_amplification,resultant_l2,diffusive_step_scale,elapsed_seconds
0,model.norm.weight,FINAL_NORM,,3072,4.487687419828846,9.185909895207353e-05,2.046913930462138e-05,4.7904109777882695
1,model.layers.0.input_layernorm.weight,INPUT_LAYERNORM,0,3072,1.1583675659725732,0.0018711313723166535,0.0016153174754557627,5.469144861213863
2,model.layers.6.input_layernorm.weight,INPUT_LAYERNORM,6,3072,0.5775370015323343,4.156004569591897e-05,7.196083642372853e-05,5.234561711549759
3,model.layers.12.input_layernorm.weight,INPUT_LAYERNORM,12,3072,0.9395938972023246,2.2395307581952514e-05,2.3835092638037952e-05,5.3510064873844385
4,model.layers.19.input_layernorm.weight,INPUT_LAYERNORM,19,3072,0.8106463066944807,1.4410358982143402e-05,1.7776382700000915e-05,5.101368064060807
5,model.layers.25.input_layernorm.weight,INPUT_LAYERNORM,25,3072,2.226392532948966,2.517075527569243e-05,1.1305623291124018e-05,5.280903141014278
6,model.layers.31.input_layernorm.weight,INPUT_LAYERNORM,31,3072,0.8339191903060715,4.9806010068529185e-05,5.972522355583278e-05,5.622109746560454
7,model.layers.0.post_attention_layernorm.weight,POST_ATTENTION_LAYERNORM,0,3072,0.7359913560535529,0.0004622831425462036,0.000628109472677783,5.240223406814039
8,model.layers.8.post_attention_layernorm.weight,POST_ATTENTION_LAYERNORM,8,3072,1.1921922419720825,4.910133415980822e-05,4.118575212214644e-05,5.40503522194922
9,model.layers.16.post_attention_layernorm.weight,POST_ATTENTION_LAYERNORM,16,3072,1.033335251949461,2.3801590843701494e-05,2.303375482332388e-05,4.84252667427063
10,model.layers.23.post_attention_layernorm.weight,POST_ATTENTION_LAYERNORM,23,3072,1.1133366177613255,1.9675812887387486e-05,1.7672833690632764e-05,4.802412937395275
11,model.layers.31.post_attention_layernorm.weight,POST_ATTENTION_LAYERNORM,31,3072,2.321219877418365,0.00015411991096726186,6.639608443241159e-05,4.877051449380815
