case_id,architecture,family,label_32step_local_persistent,oracle_prefix16_local_A,local_effective_update_rms,candidate_dtype_is_bfloat16,reduction_extent,reduction_binding_method,implementation_kind,symbol,source
multishape-backward-cell-0057,deepseek8b,NORMALIZATION_BACKWARD,False,0.9901458994633713,5.911223127545187e-06,1.0,128,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_red_fused__to_copy_add_mul_sum_view_6,results/coverage/runtime_releases/deepseek8b_seq128_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0103,deepseek8b,NORMALIZATION_BACKWARD,False,0.9918294870496396,6.709884234669866e-06,1.0,4096,EXTERNAL_MM_K_FROM_EXACT_EXECUTED_CALL,EXTERN,mm,results/coverage/runtime_releases/deepseek8b_seq256_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0153,deepseek8b,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,False,0.9522229768866934,7.996716482306362e-06,1.0,1,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_poi_fused__to_copy_add_arange_bmm_cat_cos_expand_mul_neg_slice_slice_backward_squeeze_sum_transpose_unsqueeze_view_10,results/coverage/runtime_releases/deepseek8b_seq64_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0190,deepseek8b,NORMALIZATION_BACKWARD,False,1.031362522749719,6.357402594093498e-06,1.0,16,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_per_fused_sum_19,results/coverage/runtime_releases/deepseek8b_seq64_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0191,deepseek8b,NORMALIZATION_BACKWARD,False,0.969157193983975,9.337161674793667e-06,1.0,16,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_per_fused_sum_19,results/coverage/runtime_releases/deepseek8b_seq64_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0450,mamba,STATE_SPACE_RECURRENT_BACKWARD,False,0.9767200909694583,5.221790768070529e-06,1.0,64,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_per_fused__to_copy__unsafe_view_add_softplus_softplus_backward_squeeze_sum_transpose_76,results/coverage/runtime_releases/mamba_seq64_r1/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0501,phi,NORMALIZATION_BACKWARD,False,0.9975948573099218,4.83639016674214e-06,1.0,128,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_red_fused__to_copy__unsafe_view_add_mul_sum_view_8,results/coverage/runtime_releases/phi4_seq128_r1/trace/model__7_backward_segment1_executed/output_code.py
multishape-backward-cell-0508,phi,NORMALIZATION_BACKWARD,False,0.9912535046616785,4.646227631321271e-06,1.0,128,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_red_fused__to_copy_mul_sum_0,results/coverage/runtime_releases/phi4_seq128_r1/trace/model__7_backward_segment1_executed/output_code.py
multishape-backward-cell-0543,phi,NORMALIZATION_BACKWARD,True,1.0069439579690107,3.6279779430242264e-06,1.0,2,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_per_fused__to_copy_mul_sum_2,results/coverage/runtime_releases/phi4_seq256_r1/trace/model__7_backward_segment1_executed/output_code.py
multishape-backward-cell-0654,qwen,ATTENTION_PROJECTION_BACKWARD,False,0.9963965272886287,5.424681632658048e-06,1.0,1024,EXTERNAL_MM_K_FROM_EXACT_EXECUTED_CALL,EXTERN,mm,results/coverage/runtime_releases/qwen_seq256_r2/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0745,qwen,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,False,0.9972039997168488,6.493654988749512e-06,1.0,64,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_per_fused__softmax__softmax_backward_data__to_copy_mul_view_8,results/coverage/runtime_releases/qwen_seq64_r2/trace/model__1_backward_segment0_executed/output_code.py
multishape-backward-cell-0747,qwen,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,False,1.0033034995278058,1.1765745755478331e-05,1.0,1,TRITON_RNUMEL_FROM_EXACT_EXECUTED_CALL,TRITON,triton_poi_fused__to_copy_add_arange_bmm_cat_cos_expand_mul_neg_sin_slice_slice_backward_squeeze_sum_transpose_unsqueeze_view_9,results/coverage/runtime_releases/qwen_seq64_r2/trace/model__1_backward_segment0_executed/output_code.py
