case_id,architecture,label_32step_local_persistent,label_source,oracle_prefix16_effective_update_A,local_effective_update_rms,reduction_extent
multishape-backward-cell-0057,deepseek8b,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9901458994633713,5.911223127545187e-06,128
multishape-backward-cell-0103,deepseek8b,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9918294870496396,6.709884234669866e-06,4096
multishape-backward-cell-0153,deepseek8b,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9522229768866934,7.996716482306362e-06,1
multishape-backward-cell-0190,deepseek8b,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,1.031362522749719,6.357402594093498e-06,16
multishape-backward-cell-0191,deepseek8b,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.969157193983975,9.337161674793667e-06,16
multishape-backward-cell-0450,mamba,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9767200909694583,5.221790768070529e-06,64
multishape-backward-cell-0501,phi,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9975948573099218,4.83639016674214e-06,128
multishape-backward-cell-0508,phi,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9912535046616785,4.646227631321271e-06,128
multishape-backward-cell-0654,qwen,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9963965272886287,5.424681632658048e-06,1024
multishape-backward-cell-0745,qwen,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,0.9972039997168488,6.493654988749512e-06,64
multishape-backward-cell-0747,qwen,False,frozen_residual_nonzero_parameter_reachable_12_row_cohort,1.0033034995278058,1.1765745755478331e-05,1
liger_fused_ce_t128,qwen3-1p7b,True,predeclared_mainline_closure_headline_cases,2.2367392263402817,7.794727717858589e-06,
phi4_seq64_lmhead_dx,phi,True,predeclared_mainline_closure_headline_cases,3.3343570175692085,3.350038180176194e-06,
qwen_seq256_lmhead_dx,qwen,True,predeclared_mainline_closure_headline_cases,1.4347677562753731,1.8951279047864924e-08,
