task_id,model,sequence_length,family,local_rms,formation_cross_state_ratio,formation_status,magnitude_state_count,magnitude_partition,artifact
backward:851:output_0,deepseek8b,64,ATTENTION_PROJECTION_BACKWARD,1.4683005435115228e-05,0.0053985260031239445,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_00/backward-cell-0001.json
backward:1257:in_out_ptr0,deepseek8b,64,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,1.7469041952429342e-06,0.00043822367403739893,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_04/backward-cell-0024.json
backward:1874:out_ptr0,deepseek8b,64,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,0.00018298130877519945,8.021088568475455e-05,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_05/backward-cell-0025.json
backward:868:out_ptr0,deepseek8b,64,NORMALIZATION_BACKWARD,0.0008381103195148038,0.034296814000769164,UNRESOLVED_INSUFFICIENT_STATES,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_01/backward-cell-0062.json
backward:1276:out_ptr0,deepseek8b,64,NORMALIZATION_BACKWARD,0.0013450672409402557,0.058030730512612434,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_02/backward-cell-0063.json
backward:851:output_0,deepseek8b,128,ATTENTION_PROJECTION_BACKWARD,1.4683005435115228e-05,0.0053985260031239445,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/deepseek8b/batch_00/backward-cell-0001.json
backward:673:out_ptr0,deepseek8b,128,NORMALIZATION_BACKWARD,0.0001034883739582667,0.01057849726367427,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/deepseek8b_seq128/multishape-backward-cell-0057.json
backward:1293:output_0,deepseek8b,256,ATTENTION_STATE_OR_TRANSPORT_BACKWARD,8.832293623404432e-06,0.001971257985610402,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/deepseek8b_seq256/batch_01/multishape-backward-cell-0081.json
backward:871:output_0,deepseek8b,256,NORMALIZATION_BACKWARD,1.620607818087349e-06,0.10757314048288899,UNRESOLVED_INSUFFICIENT_STATES,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/deepseek8b_seq256/batch_00/multishape-backward-cell-0102.json
backward:1303:output_0,deepseek8b,256,NORMALIZATION_BACKWARD,2.3593062518409743e-05,0.0007788202657278981,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/deepseek8b_seq256/batch_00/multishape-backward-cell-0103.json
backward:4856:out_ptr1,mamba,64,LOSS_CE_BACKWARD,1.9348147233822577e-06,0.003083576457142633,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/mamba/backward-cell-0064.json
backward:4857:output_0,mamba,64,LOSS_HEAD_BACKWARD,0.00017665335363834938,0.0005897787475965824,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/mamba/backward-cell-0067.json
backward:8483:out_ptr0,mamba,64,NORMALIZATION_BACKWARD,0.004204380920582703,0.01741607294807653,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/mamba/backward-cell-0074.json
backward:6670:out_ptr0,mamba,64,NORMALIZATION_BACKWARD,0.0004537858848621663,0.0019040411331298919,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/mamba/backward-cell-0078.json
backward:5602:out_ptr0,mamba,64,STATE_SPACE_RECURRENT_BACKWARD,5.353357777484274e-05,0.056603660265001535,CENTERED,4,screening,results/property/bias_formation/hotspot_search/multishape_screen/mamba_seq64_newly_bound/screening_gram.json
backward:1136:out_ptr0,phi4,128,NORMALIZATION_BACKWARD,0.006292551134789097,-0.04023408194799907,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/equivalence_confirmation/phi4/batch_00/backward-cell-0165.json
backward:606:out_ptr0,phi4,128,NORMALIZATION_BACKWARD,0.0005000926412548242,0.012078200489524514,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/phi4_seq128/multishape-backward-cell-0448.json
backward:1088:output_0,phi4,256,ATTENTION_PROJECTION_BACKWARD,0.00012316586776779222,1.7047489317971572e-06,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/phi4_seq256/multishape-backward-cell-0450.json
backward:497:out_ptr0,phi4,256,NORMALIZATION_BACKWARD,0.0002719447399036677,0.08562075383930833,UNRESOLVED_INSUFFICIENT_STATES,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/phi4_seq256/multishape-backward-cell-0482.json
backward:494:output_0,phi4,256,LOSS_CE_BACKWARD,1.2220932648916768e-05,0.0011674543743495915,CENTERED,16,confirmation,results/property/bias_formation/hotspot_search/multishape_confirmation/phi4_seq256_lm_head_dx/phi4-seq256-lm-head-dx.json
